stock_id,roc_year,roc_month,announce_date,verdict,note
2450,112,1,2023-02-09,codex,中央社標題明載神腦112年1月營收27.16億元、年減7.43%，公司、期別與兩項數字完整，2/7落在正常公告窗。
2457,112,1,2023-02-08,codex,飛宏的公告標題直接列出112年1月營收與年增減資訊；不是搜尋分類片段，2/7日期亦符合月營收發布時點。
2458,112,1,2023-02-02,codex,Yahoo公告完整指向義隆112年1月營收8.15億元；雖未顯示年增率，金額與月份俱在，2/2的較早發布沒有矛盾。
2467,112,1,2023-02-09,codex,志聖標題同時有112年1月、月營收金額及年增減，對應的是本任務的營收公告而非損益或新聞評論。
2492,112,1,2023-02-09,codex,華新科公告逐字揭示112年1月營收與同比數字，題名具公司全名和月份，足以支持2月公布日。
2497,112,1,2023-02-05,codex,怡利電Yahoo公告列明112年1月營收及年增減；2/5雖是週日，但內容本身完整且未見與慣用日衝突。
2498,112,1,2023-02-06,codex,宏達電的月營收公告含公司、112年1月及金額／同比，所述正是單月營收，不是產品或股價消息。
2506,112,1,2023-02-09,codex,太設標題提供112年1月營收的具體金額與年增減，申報主體精確，日期落在次月公告區間。
2511,112,1,2023-02-02,codex,太子月營收公告明確寫出112年1月和營收變動資料，沒有母子公司或年度錯配跡象。
2520,112,1,2023-02-09,codex,冠德的題名是具數字的112年1月營收公告，月份和公司名稱皆完整，能與此列對上。
2527,112,1,2023-02-08,codex,宏璟標題中有112年1月營收及同比資訊，屬本月營收揭露而非其他財務指標。
2536,112,1,2023-02-03,codex,宏普公告以公司名、112年1月、營收金額和成長率構成完整證據，2月日期合理。
2537,112,1,2023-02-08,codex,聯上發的完整名稱出現在112年1月營收公告中，避免誤認為聯上；數字與期別均在標題內。
2634,112,1,2023-02-07,codex,鉅亨標題載漢翔1月營收26.85億元及累計資訊，2/7時間戳與公告日相符，營收量級也合理。
2636,112,1,2023-02-07,codex,Yahoo URL slug為台驊投控的公告且帶112年1月與2/7日期；台驊投控是台驊控股同一檔的舊稱，非另一家公司。
2640,112,1,2023-02-09,codex,大車隊公告直接揭示112年1月營收與年增減，題名完整，足以將這筆連到單月申報。
2701,112,1,2023-02-09,codex,"公開資訊觀測站格式明列萬企112年1月合併營收2,599百萬元，為官方原始數字，2/9發布日可信。"
2702,112,1,2023-02-09,codex,華園112年1月營收公告含具體營收與同比，名稱精確且沒有把餐飲新聞誤作申報。
2706,112,1,2023-02-10,codex,第一店的標題清楚是112年1月營收揭露，並附數字及年增減，期別與本列一致。
2727,112,1,2023-02-08,codex,王品公告列出112年1月營收及變動百分比，屬公司自身月營收資訊而非市場討論。
2729,112,1,2023-02-08,codex,瓦城完整標題提供112年1月營收金額和同比，公告時點在次月且無日期矛盾。
2732,112,1,2023-02-08,codex,六角的營收公告同時標出公司、112年1月和具體數據，證據強度足以採用。
2752,112,1,2023-02-10,codex,豆府標題為112年1月月營收公告，金額與年增減均可見，並非年度獲利訊息。
2756,112,1,2023-02-09,codex,聯發國際公告中的112年1月、營收數字與同比相互對應，申報主體清楚。
2816,112,1,2023-02-09,codex,旺旺保題名披露112年1月營收及年增減，保險公司名稱精確、內容仍是月營收而非保費新聞。
2851,112,1,2023-02-09,codex,中再保的公告明示112年1月單月營收與變動，日期在正常公告期間，沒有抓到其他中再保資料。
2852,112,1,2023-02-04,codex,第一保標題有112年1月營收與同比數字；2/4為週六但緊鄰慣用日，內容沒有相反日期證據。
2880,112,1,2023-02-09,codex,華南金完整公告含112年1月營收金額和年增減，這筆不是金控年度獲利或EPS資訊。
2884,112,1,2023-02-07,codex,玉山金標題具112年1月營收及具體數值，任務期別、公司名和揭露類型一致。
2890,112,1,2023-02-06,codex,永豐金月營收公告清楚寫出112年1月及變動資料，未混入銀行子公司或全年獲利。
2912,112,1,2023-02-10,codex,統一超公告列出112年1月營收、金額與年增減，名稱為統一超而非較寬泛的統一。
2937,112,1,2023-02-10,codex,集雅社的112年1月營收標題帶有數字和同比，足以辨識為單月營收申報。
2945,112,1,2023-02-10,codex,三商家購公告明載112年1月營收和年增減，期別完整、非零售促銷或新聞文章。
2947,112,1,2023-02-07,codex,振宇五金標題提供112年1月營收的實際數字與變動率，與此任務一致。
3004,112,1,2023-02-03,codex,豐達科月營收公告直接給出112年1月及營收／同比，沒有季度數字混淆。
3005,112,1,2023-02-05,codex,神基標題含112年1月營收和年增減；2/5雖為週日，仍接近該檔慣用公布日且內容完整。
3021,112,1,2023-02-10,codex,鴻名公告清楚揭露112年1月營收與同比，標題可獨立辨認申報公司與月份。
3022,112,1,2023-02-06,codex,威強電的月營收題名同時有公司名、112年1月與具體變動資訊，支持這個日期。
3026,112,1,2023-02-07,codex,禾伸堂公告載明112年1月營收數字及年增減，是正確的月營收事件而非損益自結。
3038,112,1,2023-02-09,codex,全台標題完整顯示112年1月營收與同比，名稱並非截斷片段，公告月份吻合。
3042,112,1,2023-02-05,codex,晶技公告明確寫112年1月營收及年增減；2/5發布雖在週日，但日期貼近慣用日且無異常。
3048,112,1,2023-02-08,codex,益登題名具112年1月、營收金額與年增減，三項核心資訊都出現在可讀標題裡。
3051,112,1,2023-02-07,codex,力特的公告將112年1月營收及同比直接列出，未見年度或公司主體錯配。
3054,112,1,2023-02-09,codex,立萬利公告完整披露112年1月營收變動，內容指向單月合併營收而非其他財報欄位。
3058,112,1,2023-02-09,codex,Yahoo的立德公告標題／slug可見公司名與公告日期，且為112年1月營收；即使片段截斷金額，身份與日期精確。
3059,112,1,2023-02-10,codex,華晶科標題有112年1月營收及具體年增減資料，符合本任務所需的月度揭露。
3066,112,1,2023-02-08,codex,李洲公告清楚標示112年1月營收、數字與同比，2月發布時點合理。
3067,112,1,2023-02-07,codex,全域的112年1月營收公告含明確金額與變動率，沒有把同名非上市主體混進來。
3092,112,1,2023-02-09,codex,鴻碩標題直接列有112年1月營收和年增減，期別與營收種類無歧義。
3093,112,1,2023-02-07,codex,港建*的Yahoo公告帶112年1月營收及數值，星號名稱也與任務列相同，非相似公司。
3114,112,1,2023-02-08,codex,好德月營收公告提供112年1月與營收變化資料，完整程度足以作為日期依據。
3128,112,1,2023-02-09,codex,昇銳標題中揭示112年1月營收金額與同比，屬可核對的公司月報訊息。
